,location,bath,price,BHK,total_sqft_new
152, Devarachikkanahalli,2.0,44.0,3,1250.0
5030, Devarachikkanahalli,2.0,40.0,2,1170.0
5771, Devarachikkanahalli,2.0,65.0,3,1425.0
6591, Devarachikkanahalli,2.0,43.0,2,947.0
8268, Devarachikkanahalli,2.0,58.0,2,1230.0
8954, Devarachikkanahalli,3.0,75.0,3,1705.0
9894, Devarachikkanahalli,2.0,47.0,2,1116.0
10582, Devarachikkanahalli,2.0,40.0,2,991.0
11101, Devarachikkanahalli,3.0,71.0,3,1700.0
848,1st Block Jayanagar,3.0,194.0,3,1630.0
2152,1st Block Jayanagar,2.0,235.0,3,1875.0
7358,1st Block Jayanagar,2.0,148.0,2,1235.0
936,1st Phase JP Nagar,4.0,250.0,4,2825.0
2106,1st Phase JP Nagar,3.0,167.0,3,1875.0
3481,1st Phase JP Nagar,3.0,157.0,3,2024.0
4605,1st Phase JP Nagar,2.0,100.0,2,1394.0
5497,1st Phase JP Nagar,2.0,93.0,2,1077.0
6465,1st Phase JP Nagar,3.0,131.0,3,1590.0
7416,1st Phase JP Nagar,3.0,210.0,3,2180.0
8299,1st Phase JP Nagar,2.0,88.5,2,1180.0
8625,1st Phase JP Nagar,2.0,86.0,2,1200.0
10534,1st Phase JP Nagar,3.0,175.0,3,2077.0
10814,1st Phase JP Nagar,2.0,85.0,2,1205.0
12049,1st Phase JP Nagar,5.0,222.0,4,2615.0
12972,1st Phase JP Nagar,2.0,75.0,2,900.0
1368,2nd Phase Judicial Layout,2.0,50.75,3,1450.0
2060,2nd Phase Judicial Layout,2.0,40.25,2,1150.0
7051,2nd Phase Judicial Layout,2.0,47.25,3,1350.0
8844,2nd Phase Judicial Layout,2.0,47.25,3,1350.0
12317,2nd Phase Judicial Layout,2.0,47.25,3,1350.0
13107,2nd Phase Judicial Layout,2.0,40.25,2,1150.0
469,2nd Stage Nagarbhavi,4.0,220.0,4,1500.0
1063,2nd Stage Nagarbhavi,8.0,451.0,6,3000.0
2190,2nd Stage Nagarbhavi,4.0,200.0,4,1350.0
11240,2nd Stage Nagarbhavi,3.0,230.0,4,1500.0
1972,5th Block Hbr Layout,2.0,56.0,2,1206.0
2020,5th Block Hbr Layout,2.0,70.0,3,1270.0
5754,5th Block Hbr Layout,2.0,69.0,2,1312.0
10354,5th Block Hbr Layout,2.0,48.0,2,1100.0
493,5th Phase JP Nagar,3.0,52.5,2,1150.0
1012,5th Phase JP Nagar,2.0,62.8,2,1256.0
1493,5th Phase JP Nagar,2.0,63.0,2,1207.0
4347,5th Phase JP Nagar,2.0,67.0,3,1485.0
5296,5th Phase JP Nagar,1.0,30.0,1,600.0
5378,5th Phase JP Nagar,2.0,65.0,2,1390.0
6027,5th Phase JP Nagar,2.0,62.8,2,1256.0
6548,5th Phase JP Nagar,2.0,48.0,2,1000.0
7294,5th Phase JP Nagar,3.0,60.0,3,1240.0
8793,5th Phase JP Nagar,3.0,75.0,3,1550.0
10915,5th Phase JP Nagar,2.0,61.8,2,1190.0
11354,5th Phase JP Nagar,2.0,53.0,2,1080.0
11521,5th Phase JP Nagar,2.0,54.0,2,1041.0
11814,5th Phase JP Nagar,2.0,42.0,2,812.0
12194,5th Phase JP Nagar,2.0,73.0,3,1450.0
333,6th Phase JP Nagar,2.0,74.0,2,1192.0
644,6th Phase JP Nagar,2.0,80.0,2,1180.0
2272,6th Phase JP Nagar,4.0,250.0,4,3245.0
2362,6th Phase JP Nagar,3.0,100.0,3,1645.0
3965,6th Phase JP Nagar,2.0,65.0,2,1140.0
8410,6th Phase JP Nagar,2.0,80.0,2,1460.0
10600,6th Phase JP Nagar,3.0,131.0,3,1810.0
11601,6th Phase JP Nagar,2.0,75.0,2,1192.0
12714,6th Phase JP Nagar,2.0,88.0,2,1280.0
226,7th Phase JP Nagar,2.0,72.0,2,1080.0
252,7th Phase JP Nagar,2.0,93.0,2,1270.0
281,7th Phase JP Nagar,2.0,100.0,3,1420.0
389,7th Phase JP Nagar,2.0,94.0,2,1245.0
404,7th Phase JP Nagar,2.0,82.0,2,1175.0
442,7th Phase JP Nagar,2.0,95.0,3,1400.0
563,7th Phase JP Nagar,3.0,160.0,3,2225.0
718,7th Phase JP Nagar,2.0,71.0,2,1050.0
824,7th Phase JP Nagar,2.0,50.49,2,918.0
832,7th Phase JP Nagar,2.0,100.0,3,1450.0
1099,7th Phase JP Nagar,2.0,96.0,3,1420.0
1223,7th Phase JP Nagar,3.0,120.0,3,1680.0
1332,7th Phase JP Nagar,2.0,69.0,2,980.0
1790,7th Phase JP Nagar,2.0,72.0,2,1180.0
2046,7th Phase JP Nagar,2.0,57.0,3,1050.0
2324,7th Phase JP Nagar,2.0,83.0,2,1270.0
2501,7th Phase JP Nagar,4.0,188.0,4,2503.0
2963,7th Phase JP Nagar,2.0,110.0,3,1575.0
2999,7th Phase JP Nagar,3.0,140.0,3,1850.0
3796,7th Phase JP Nagar,3.0,120.0,3,1680.0
4102,7th Phase JP Nagar,2.0,82.5,2,1175.0
4476,7th Phase JP Nagar,2.0,90.0,2,1215.0
4521,7th Phase JP Nagar,2.0,75.0,2,1050.0
4717,7th Phase JP Nagar,3.0,89.13,3,1300.0
4718,7th Phase JP Nagar,2.0,73.0,2,1130.0
4900,7th Phase JP Nagar,3.0,100.0,3,1450.0
5241,7th Phase JP Nagar,2.0,87.0,2,1275.0
5319,7th Phase JP Nagar,3.0,110.0,3,1650.0
5575,7th Phase JP Nagar,3.0,117.0,3,1680.0
6081,7th Phase JP Nagar,3.0,125.0,3,1680.0
6582,7th Phase JP Nagar,2.0,61.0,2,1000.0
6809,7th Phase JP Nagar,2.0,100.0,3,1460.0
6846,7th Phase JP Nagar,3.0,110.0,3,1650.0
7205,7th Phase JP Nagar,2.0,70.65,2,1000.0
7434,7th Phase JP Nagar,2.0,75.0,2,1080.0
7609,7th Phase JP Nagar,3.0,125.0,3,1680.0
7870,7th Phase JP Nagar,2.0,97.0,3,1460.0
8086,7th Phase JP Nagar,2.0,65.0,2,1120.0
8136,7th Phase JP Nagar,3.0,60.0,2,1100.0
8233,7th Phase JP Nagar,3.0,120.0,3,1790.0
8276,7th Phase JP Nagar,3.0,117.0,3,1680.0
8330,7th Phase JP Nagar,2.0,77.0,2,1050.0
8529,7th Phase JP Nagar,2.0,75.0,2,1050.0
8560,7th Phase JP Nagar,2.0,75.0,2,1040.0
8801,7th Phase JP Nagar,2.0,95.0,3,1400.0
8914,7th Phase JP Nagar,3.0,130.0,3,1800.0
8982,7th Phase JP Nagar,2.0,68.0,2,1050.0
9119,7th Phase JP Nagar,2.0,60.0,2,1000.0
9199,7th Phase JP Nagar,3.0,125.0,3,1680.0
